country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
Greece,Europe,2003,1580,8.93,40.2,38,59.8,943,11.9,11200000,87.2,79.1
Grenada,NA,2003,359,6.16,50.9,NA,49.1,177,10.3,104000,301,74.4
Guatemala,Americas,2003,115,6.34,63.1,NA,36.9,42.3,14.8,12500000,117,69.4
Guinea,Africa,2003,21.6,5.49,75.8,75.3,24.2,5.23,6.81,8750000,37.9,55.5
Guinea-Bissau,Africa,2003,20.4,5.75,76.9,42.2,23.1,4.7,6.91,1280000,47,52.9
Guyana,NA,2003,55.7,5.56,20.6,NA,79.4,44.2,9.92,745000,3.82,66.5
Haiti,Americas,2003,14.6,4.7,79.4,NA,20.6,3.02,8.21,8900000,326,58.9
Honduras,Americas,2003,79.7,6.4,26,NA,74,59,23.4,7110000,62.9,71.2
Hungary,Europe,2003,690,8.36,27.2,23.7,72.8,502,12.3,10100000,112,72.6
Iceland,Europe,2003,4030,10.6,18,16.7,82,3300,19,288000,2.87,81.1
India,Asia,2003,23.7,4.42,77.2,70.7,22.8,5.39,2.91,1110000000,373,64.5
Indonesia,Asia,2003,26.8,2.53,59.9,44.4,40.1,10.7,5.43,220000000,122,68
Iran,Asia,2003,96.7,4.86,54.2,51.4,45.8,44.3,9.29,68100000,42.3,72.9
Iraq,Asia,2003,18.4,3.64,54.6,54.6,45.4,8.32,4.41,25600000,59,68.4
Ireland,Europe,2003,2910,7.3,23.5,16,76.5,2220,16.9,3980000,58.8,78.2
Israel,Asia,2003,1370,7.71,37.1,27.5,62.9,860,9.4,6280000,293,79.4
Italy,Europe,2003,2180,8.3,25.5,22.4,74.5,1630,12.9,57600000,198,80.1
Jamaica,Americas,2003,162,4.57,49.5,NA,50.5,82.1,4.5,2710000,250,75.9
Japan,Asia,2003,2690,8.13,19.6,16.4,80.4,2170,17,128000000,351,82.1
Jordan,Asia,2003,186,9.29,50.6,41.3,49.4,91.8,9.59,5430000,60.8,74
Kazakhstan,NA,2003,76.3,3.7,45.5,44.8,54.5,41.5,8.74,15100000,5.64,65.3
Kenya,Africa,2003,19.6,4.45,56.6,44.8,43.4,8.51,7.76,34700000,60,56
Kiribati,NA,2003,102,9.64,5.25,NA,94.8,96.1,5.9,88800,110,59.8
Kuwait,Asia,2003,727,3.23,19.8,17.9,80.2,583,7.5,2160000,122,79.5
Kyrgyz Republic,NA,2003,20.8,5.43,62.1,57.7,37.9,7.89,10.2,5010000,26.1,67
Lao,NA,2003,17.6,5.12,74,55.8,26,4.59,6.74,5580000,24.2,59
Latvia,NA,2003,295,6.13,47.2,NA,52.8,156,9.31,2310000,37.1,70.9
Lebanon,Asia,2003,420,8.23,59.4,43.7,40.6,170,9.54,4390000,362,76.1
Lesotho,Africa,2003,33,7.07,41.6,28.7,58.4,19.3,8.32,2020000,63.2,45.6
Liberia,Africa,2003,6.88,5.09,77.2,38.4,22.8,1.56,10.6,3080000,32.4,55.1
Libya,Africa,2003,191,3.66,36.5,36.5,63.5,121,6.49,5620000,3.19,73.8
Lithuania,NA,2003,351,6.49,24,NA,76,267,14.9,3410000,54.5,72.2
Luxembourg,NA,2003,4950,7.66,15.8,12.2,84.2,4170,15.4,447000,173,78.7
Madagascar,Africa,2003,11.5,3.53,35.9,19,64.1,7.34,11.9,17300000,29.7,60
Malawi,Africa,2003,12.7,6.35,27.9,11.8,72.1,9.14,16.7,12000000,131,46
Malaysia,Asia,2003,185,4.21,38.3,27.7,61.7,114,9.57,24700000,75.1,73.4
Maldives,NA,2003,210,6.33,47.8,34.4,52.2,110,11.9,303000,1010,74.5
Mali,Africa,2003,21.3,6.25,55.9,55.1,44.1,9.4,10.7,12000000,9.84,55.3
Malta,NA,2003,1080,8.38,30,NA,70,752,12.6,401000,1260,79.1
Marshall Islands,NA,2003,385,16.2,16.8,12.7,83.2,320,16.8,53500,290,62
Mauritania,Africa,2003,23.9,5.37,36.5,34.4,63.5,15.2,7.2,2860000,2.87,64.9
Mauritius,Africa,2003,184,3.89,45.8,36.4,54.2,99.5,8.82,1210000,596,72.7
Mexico,Americas,2003,397,5.78,55.8,NA,44.2,175,15.5,103000000,54.3,75
"Micronesia, Fed. Sts.",NA,2003,215,9.79,5.1,5.1,94.9,204,13.5,107000,153,66.4
Moldova,NA,2003,45.7,8.33,52.4,41.9,47.6,21.8,12,4170000,127,69.2
Monaco,NA,2003,3910,3.86,11.9,7,88.1,3440,17.7,33100,22100,NA
Mongolia,Asia,2003,27.5,4.71,20.7,15.2,79.3,21.8,10.1,2470000,1.59,63.2
Montenegro,Europe,2003,249,9.56,27,24.6,73,181,17.8,614000,45.7,74.3
Morocco,Africa,2003,87.9,5.25,73.4,60,26.6,23.4,5.04,29800000,66.9,70.3
Mozambique,Africa,2003,13.3,5.64,27.2,13.3,72.8,9.72,15,19300000,25.1,50.6
Myanmar,Asia,2003,3.99,2.28,87.7,86.1,12.3,0.49,1.14,48100000,72.9,60.1
Namibia,Africa,2003,160,6.52,42.9,5.09,57.1,91.4,11.3,1880000,2.41,52.6
Nauru,NA,2003,430,11.9,25.1,3.95,74.9,322,23.8,9990,505,NA
Netherlands,Europe,2003,3240,9.77,30.8,7.32,61.2,1980,12.7,16200000,480,78.6
New Zealand,Oceania,2003,1600,7.86,21.7,15.6,78.3,1260,16.4,4020000,15.3,78.9
Nicaragua,Americas,2003,61.5,7.94,43.4,NA,56.6,34.8,20.2,5290000,43.6,75.2
Niger,Africa,2003,7.9,3.63,53.6,43.1,46.4,3.66,9.39,12600000,9.99,54
Nigeria,Africa,2003,38.4,6.51,77.6,74.7,22.4,8.6,5.11,132000000,145,56
North Macedonia,NA,2003,219,9.29,41.5,41.2,58.5,128,16.2,2050000,81.4,74.1
Norway,Europe,2003,4940,10,16.2,15.5,83.7,4130,17.4,4570000,12.5,79.5
Oman,Asia,2003,293,3.19,17.1,10.6,82.9,243,6.86,2390000,7.71,74.1
Pakistan,Asia,2003,15.7,2.84,76.7,61.5,23.3,3.65,2.64,153000000,192,62.4
Palau,NA,2003,643,10.3,16.2,8.32,83.8,538,12.7,19800,42.8,NA
Panama,Americas,2003,315,7.6,33.6,NA,66.4,209,10.4,3210000,43.2,77.8
Papua New Guinea,NA,2003,25.2,3.94,21,11.7,79,19.9,10.9,6220000,13.3,55.7
Paraguay,Americas,2003,70,7.16,66.9,NA,33.1,23.2,13.6,5630000,14.1,74.7
Peru,Americas,2003,103,4.51,41.3,NA,58.7,60.4,15.4,27400000,21,75.9
Philippines,Asia,2003,33.1,3.25,59.8,46.9,40.2,13.3,7.08,83100000,278,69.1
Poland,Europe,2003,354,6.24,30.1,26.4,69.9,248,9.77,38400000,126,74.9
Portugal,Europe,2003,1510,9.77,32,24.1,68,1030,15.2,10400000,115,77.6
Qatar,NA,2003,1530,4.25,17.9,15.3,82.1,1260,11,682000,59.3,76.1
Romania,Europe,2003,146,5.33,15.2,NA,84.8,124,13.5,21700000,94.4,71.4
Russia,NA,2003,167,5.61,41.2,32.8,58.8,98,11,145000000,8.83,65.1
Rwanda,Africa,2003,13.2,6.34,47.3,17.4,52.7,6.97,17.6,8560000,352,53.8
Samoa,NA,2003,92.3,5.15,20.4,18.8,79.6,73.5,18.8,177000,62.8,72.1
San Marino,NA,2003,2840,7.33,14.3,NA,85.8,2430,14.9,28600,475,NA
Sao Tome and Principe,Africa,2003,78,10.9,48.9,30.3,51.1,39.9,13.3,150000,155,65.8
Saudi Arabia,Asia,2003,387,4.02,28,18.4,72,278,9.07,22500000,10.5,74.7
Senegal,Africa,2003,36,5.4,61.3,55,38.7,13.9,9.68,10500000,55.4,62.3
Serbia,Europe,2003,230,8.81,29.1,25,70.9,163,13.7,9290000,106,72.4
Seychelles,NA,2003,415,4.8,10.1,9.93,89.9,373,12.2,85800,187,72.1
Sierra Leone,Africa,2003,16.3,7.77,70.9,63.2,29.1,4.73,8.44,5200000,72,51.8
Singapore,Asia,2003,895,3.81,64.3,55.1,35.7,320,7.95,4130000,6070,80.6
Slovak Republic,Europe,2003,360,5.82,11.7,NA,88.3,318,12.8,5400000,112,74
Slovenia,Europe,2003,1260,8.61,28.1,NA,71.9,904,13.4,1990000,98.8,76.5
Solomon Islands,NA,2003,45.9,6.13,8.03,4.35,92,42.2,20.6,447000,16,61.1
Somalia,Africa,2003,NA,NA,NA,NA,NA,NA,NA,9820000,15.7,53.7
South Africa,Africa,2003,320,8.86,60.5,14,39.5,126,11.2,46700000,39.3,52.8
South Korea,NA,2003,697,5.18,47.6,38,52.4,365,9.4,48300000,496,77.6
Spain,Europe,2003,1720,8.17,29.8,NA,70.3,1210,14.9,42600000,85.5,79.6
Sri Lanka,Asia,2003,37.1,3.81,56.8,46.9,43.3,16,7.18,19200000,306,73.7
St. Kitts and Nevis,NA,2003,357,4.72,43.5,NA,56.5,202,6.28,45700,182,NA
St. Lucia,NA,2003,268,5.89,45.5,NA,54.5,146,9.73,161000,264,74
St. Vincent and the Grenadines,NA,2003,174,3.9,17.9,NA,82.1,143,11,108000,278,72.2
Sudan,Africa,2003,18.7,3.85,70.3,64.4,29.7,5.54,7.17,29500000,16.7,64.3
Suriname,NA,2003,173,6.62,49.3,NA,50.7,87.7,12,488000,3.13,69.5
Swaziland,Africa,2003,97.9,5.93,35,14.6,65,63.6,12.1,1020000,63.2,44.5
Sweden,Europe,2003,3270,9.31,18,15.9,82,2680,13.7,8950000,21.8,80.3
Switzerland,Europe,2003,4940,11.3,41.6,31.6,58.4,2880,18.1,7270000,185,80.9
Syria,Asia,2003,60.4,5.12,51.8,51.8,48.3,29.1,6.31,17400000,94.8,74.4
Tajikistan,NA,2003,10.9,4.46,79.6,77.6,20.4,2.23,5.61,6540000,47,68.9
Tanzania,Africa,2003,11.9,3.75,50.5,44.1,49.5,5.88,11.3,36300000,41.9,55.4
Thailand,Asia,2003,78.2,3.58,36.2,26.9,63.8,49.9,12,64500000,126,73.6
Timor-Leste,NA,2003,35,10.9,25.5,6.53,74.5,26.1,35.5,947000,64.6,66.5
Togo,Africa,2003,19.1,5.6,75.5,63.6,24.4,4.66,9.53,5330000,99.1,56.7
Tonga,NA,2003,106,5.09,16.9,10.6,83.2,88.1,17.9,99600,139,70.7
Trinidad and Tobago,Americas,2003,425,4.94,51.1,NA,48.9,208,8.27,1280000,250,71.1
Tunisia,Africa,2003,152,5.91,47.3,38,52.7,80,9.07,9950000,64,75.2
Turkey,Europe,2003,242,5.34,28.1,18.5,71.9,174,9.73,66100000,85.9,75.9
Turkmenistan,NA,2003,93.3,3.8,28.6,28.6,71.4,66.6,14,4660000,9.91,66.9
Tuvalu,NA,2003,411,21.1,0.1,NA,99.9,410,19.2,9720,326,NA
Uganda,Africa,2003,18.1,7.42,70.8,37.1,29.2,5.28,9.95,26000000,133,51.5
Ukraine,NA,2003,73,6.93,41.7,38.7,58.3,42.5,10.4,47600000,82.1,68.3
United Arab Emirates,NA,2003,968,2.65,36.8,27.5,63.2,611,8.35,3710000,44.8,72
United Kingdom,Europe,2003,2430,7.77,20,12.8,80,1940,14.8,59600000,246,78.5
United States,Americas,2003,5980,15.7,56.4,13.7,43.6,2610,18.8,290000000,31.7,77.2
Uruguay,Americas,2003,262,7.24,32,NA,68,178,12.5,3320000,19,74.9
Uzbekistan,NA,2003,20.8,5.24,54.6,53.1,45.4,9.46,7.36,25700000,60.7,67
Vanuatu,NA,2003,57.9,3.69,24.9,17.8,75.1,43.4,13.9,199000,16.3,63.3
Venezuela,Americas,2003,190,5.86,61.9,NA,38.1,72.5,7.2,25600000,29.3,73.5
Vietnam,Asia,2003,25.4,5.23,67.9,62.9,32.1,8.15,5.67,82300000,267,72.1
Yemen,NA,2003,36.4,5.74,54.2,52.1,45.8,16.6,7.62,19000000,36.9,64.8
Zambia,Africa,2003,26.3,6.58,38.4,29,61.6,16.2,13.3,11300000,15.4,47.6
Zimbabwe,Africa,2003,NA,NA,NA,NA,NA,NA,NA,12000000,32.7,45.4
Afghanistan,Asia,2004,20.7,6.36,92.2,86.6,7.81,1.61,1.48,24700000,36.9,56.9
Albania,Europe,2004,161,6.88,60.3,56.1,39.7,63.9,9.23,3100000,113,75.6
Algeria,Africa,2004,89,3.38,28.9,27.4,71.1,63.2,7.8,32700000,13.8,75
Andorra,NA,2004,2190,7.11,30.8,21.8,69.2,1520,22.7,76300,162,81.7
Angola,Africa,2004,25.9,2.09,24,24,76,19.7,4.12,18800000,15.1,54.8
Antigua and Barbuda,NA,2004,459,4.67,36.6,32.2,63.4,291,10.6,80300,201,75.6
Argentina,Americas,2004,332,8.32,47.7,30.6,52.3,174,15.2,38500000,14.2,74.9
Armenia,NA,2004,64.1,5.49,74.6,71.5,25.4,16.3,6.76,3000000,105,73.2
Australia,Oceania,2004,2870,8.54,33.3,18.3,66.7,1920,16.5,19900000,2.6,80.8
Austria,Europe,2004,3680,10.3,24.3,16,75.7,2790,14.5,8220000,99.7,79.4
Azerbaijan,NA,2004,80.9,7.9,87,79.2,13,10.5,5.92,8450000,102,67.4
Bahamas,NA,2004,1340,7,52.8,26.3,47.2,633,15.2,319000,32.2,72.9
Bahrain,Asia,2004,661,3.95,32.8,22.7,67.2,444,9.43,830000,1090,74.4
Barbados,NA,2004,732,6.99,35.5,NA,64.5,472,12.4,275000,635,75.5
Belarus,NA,2004,154,6.59,25.3,17.3,74.7,115,10.8,9620000,47.7,68.8
Belgium,Europe,2004,3520,10.1,24,18.5,76,2680,15.6,10500000,346,79
Belize,NA,2004,168,4.38,42.7,NA,57.3,96.5,8.05,277000,12.1,71.8
Benin,Africa,2004,25,4.56,52.3,52.1,47.7,11.9,10.8,7750000,68.7,58.8
Bhutan,NA,2004,48.2,4.41,27.5,27.5,72.5,34.9,10.3,639000,16.8,68.8
Bolivia,Americas,2004,52.1,5.34,37.4,NA,62.6,32.6,10.1,9070000,8.28,68.5
Bosnia and Herzegovina,Europe,2004,243,9.07,42.8,42.8,57.2,139,13.4,3760000,74.1,76.2
Botswana,Africa,2004,452,8.32,23.4,6.9,76.6,346,17.3,1770000,3.23,51.6
Brazil,Americas,2004,257,7.13,53,NA,47,121,5.15,184000000,22.1,72.6
Brunei,NA,2004,667,3.02,16.3,16.2,83.7,558,6.86,359000,68.2,74.5
Bulgaria,Europe,2004,238,7.31,39.2,NA,60.7,145,11.5,7740000,71.3,72.5
Burkina Faso,Africa,2004,22.6,6.11,46.3,44.1,53.7,12.2,15.3,13000000,47.6,54.6
Burundi,Africa,2004,9.59,9.93,64.1,41.9,35.9,3.44,9.15,7130000,280,48.7
Cambodia,Asia,2004,32.3,7.98,71.3,50.6,28.7,9.26,16.5,13100000,74,62.9
Cameroon,Africa,2004,43.4,4.73,76.1,71.9,23.9,10.4,7.07,17300000,35.9,54.6
Canada,Americas,2004,3040,9.78,29.8,14.7,70.2,2130,17.2,31800000,3.51,80.1
Cape Verde,NA,2004,101,5.1,22.1,22,77.9,78.6,12.7,457000,116,72.3
Central African Republic,Africa,2004,12.9,4.02,62,58.9,38,4.9,11,3960000,6.51,44.9
Chad,Africa,2004,23.8,5.1,64.4,62.3,35.6,8.45,10.3,9730000,7.71,53
Chile,Americas,2004,420,7.06,60.1,NA,39.9,167,12.9,16000000,21.5,77.5
China,Asia,2004,70.1,4.75,62,53.6,38,26.6,10.1,1320000000,140,73.7
Colombia,Americas,2004,206,7.44,29.4,NA,70.6,145,19.8,42100000,38.5,75.6
Comoros,Africa,2004,19.6,3.38,39.6,39.6,60.4,11.8,10.2,597000,321,64.1
"Congo, Dem. Rep.",Africa,2004,6.49,5.55,78.2,57.6,21.8,1.42,5.97,53100000,23.4,55.3
"Congo, Rep.",Africa,2004,34.2,2.54,46.2,46.2,53.8,18.4,5.11,3510000,10.6,55.6
Costa Rica,Americas,2004,342,7.69,27.9,NA,72.1,246,23.1,4230000,82,78.5
Cote d'Ivoire,Africa,2004,36.9,4.22,74.6,73,25.4,9.35,5.26,18000000,56.6,53.7
Croatia,Europe,2004,614,6.65,18.9,NA,81.1,498,14.1,4380000,78.3,75.5
Cuba,Americas,2004,206,6.06,9.75,NA,90.3,186,10.3,11300000,106,77.7
Cyprus,NA,2004,1340,6.42,56.2,46.5,43.8,588,6.63,1010000,109,77.6
Czech Republic,Europe,2004,771,6.9,10.8,10.3,89.2,687,14.2,10200000,133,76
Denmark,Europe,2004,4380,9.68,15.7,14.2,84.3,3690,14.9,5400000,127,77.8
Djibouti,Africa,2004,47.4,5.65,38.3,37.8,61.7,29.3,9.3,772000,33.3,61.1
Dominica,NA,2004,248,6,34.9,NA,65.1,161,8.22,70400,93.8,74
Dominican Republic,Americas,2004,126,5.33,71.3,NA,28.7,36.1,8.3,8970000,188,73.1
Ecuador,Americas,2004,163,6.61,77,NA,23,37.5,5.58,13600000,54.4,74.2
Egypt,Africa,2004,58.9,5.47,59.5,58.6,40.5,23.8,7.01,74200000,75.7,68.6
El Salvador,Americas,2004,189,7.22,50.7,NA,49.3,93.4,14.8,6020000,290,72.5
Equatorial Guinea,Africa,2004,189,2.13,42.8,38.5,57.3,108,6.96,717000,25.8,59.9
Eritrea,Africa,2004,8.18,3.76,53.8,53.8,46.2,3.78,4.25,2720000,38.2,55.6
Estonia,NA,2004,517,5.81,33.2,18.8,66.8,345,11.4,1360000,32.2,72.5
Ethiopia,Africa,2004,5.99,4.33,42.8,34.8,57.2,3.43,9.95,74200000,74.6,55.7
Fiji,NA,2004,119,3.58,19.3,12.2,80.7,96.2,10.3,818000,44.8,67
Finland,Europe,2004,2970,8.21,25,18.8,75,2230,12.3,5240000,17.3,78.8
France,Europe,2004,3630,11,21.2,6.56,78.8,2860,16.3,60700000,111,80.2
Gabon,Africa,2004,160,3,54.3,54.3,45.7,73.2,6.6,1350000,5.29,58.9
Gambia,Africa,2004,17.3,6.29,42.2,20.4,57.8,9.97,11.7,1500000,138,62.3
Georgia,NA,2004,96.8,8.53,84.7,77.4,15.3,14.8,5.6,4230000,65.2,72.9
Germany,Europe,2004,3530,10.7,23.3,13.4,76.7,2710,17.4,81600000,234,79.4
Ghana,Africa,2004,25.8,6.14,38.1,24.4,61.9,16,11.6,21300000,92.2,59.8
Greece,Europe,2004,1810,8.68,40.9,38.7,59.1,1070,11.3,11200000,87.4,79.1
Grenada,NA,2004,336,5.71,53.1,NA,46.9,158,8.55,104000,302,74
Guatemala,Americas,2004,123,6.36,65.8,NA,34.3,42.1,15.3,12800000,119,69.7
Guinea,Africa,2004,21.9,5.32,83.1,82.6,16.9,3.71,5,8930000,38.6,55.7
Guinea-Bissau,Africa,2004,21.6,5.55,84.3,48.3,15.7,3.39,3.44,1310000,48,53.2
Guyana,NA,2004,80.3,7.59,26.7,NA,73.3,58.8,12.5,746000,3.82,66.8
Haiti,Americas,2004,18.4,4.63,77.4,NA,22.6,4.16,8.56,9050000,331,58.8
Honduras,Americas,2004,85.1,6.47,35,NA,65,55.4,20.9,7280000,64.4,71.4
Hungary,Europe,2004,813,8.06,27.6,23.4,72.4,588,11.9,10100000,112,72.9
Iceland,Europe,2004,4560,10,18.5,17.2,81.5,3720,18.5,291000,2.9,81.2
India,Asia,2004,26.4,4.15,77.3,69.1,22.7,6.01,2.96,1130000000,379,65.2
Indonesia,Asia,2004,27.1,2.37,60.5,44.7,39.5,10.7,5.02,223000000,123,66.5
Iran,Asia,2004,117,4.93,56.5,54.1,43.5,50.8,9.27,69000000,42.7,74.2
Iraq,Asia,2004,62.4,5.71,27.8,27.8,72.2,45,3.41,26300000,60.6,69
Ireland,Europe,2004,3450,7.5,22.6,15.7,77.4,2670,17.3,4060000,59.9,78.5
Israel,Asia,2004,1410,7.59,37.7,26.4,62.3,881,9.72,6400000,299,79.8
Italy,Europe,2004,2570,8.62,24,21.2,76,1950,13.8,57900000,199,80.7
Jamaica,Americas,2004,183,4.82,43.3,NA,56.7,104,5.17,2730000,252,76.5
Japan,Asia,2004,2910,8.08,19.3,16.3,80.8,2350,17.6,128000000,352,82.3
Jordan,Asia,2004,203,9.26,47.1,39.6,52.9,107,10.2,5580000,62.4,74.4
Kazakhstan,NA,2004,113,3.96,42,41.3,58,65.8,10.2,15300000,5.7,65.3
Kenya,Africa,2004,19.9,4.29,58.1,45.5,41.9,8.33,7.74,35600000,61.6,56.4
Kiribati,NA,2004,118,10.4,4.97,NA,95,112,5.55,90500,112,59.9
Kuwait,Asia,2004,748,2.76,20.3,18.4,79.7,596,6.97,2200000,124,79.3
Kyrgyz Republic,NA,2004,24.6,5.57,59.2,55.8,40.8,10,11.4,5040000,26.3,67.1
Lao,NA,2004,19.4,4.38,82.7,62.4,17.3,3.36,5.37,5660000,24.5,59.7
Latvia,NA,2004,387,6.5,43.4,NA,56.6,219,10.3,2280000,36.6,71.2
Lebanon,Asia,2004,453,8.3,57,42.4,43,195,11.1,4570000,378,76.3
Lesotho,Africa,2004,41.4,6.86,42.6,29.4,57.4,23.8,8.35,2010000,63.7,44.8
Liberia,Africa,2004,7.56,5.08,74.1,36.7,25.9,1.96,11.9,3140000,33,58
Libya,Africa,2004,204,3.12,37,37,63,129,5.5,5710000,3.24,73.9
Lithuania,NA,2004,374,5.67,32.4,NA,67.5,253,11.5,3380000,53.9,72.1
Luxembourg,NA,2004,6110,8.2,15.2,11.6,84.8,5180,16.3,452000,174,79
Madagascar,Africa,2004,9.16,3.65,34.6,19.9,65.4,5.99,11.6,17800000,30.6,60.2
Malawi,Africa,2004,16.4,7.82,26.9,9.42,73.1,12,21,12300000,134,46.7
Malaysia,Asia,2004,190,3.9,43,31.9,57,108,8.87,25200000,76.6,73.7
Maldives,NA,2004,236,6.49,43.7,32.4,56.3,133,13.8,311000,1030,73.8
Mali,Africa,2004,24.5,6.28,50.8,50.5,49.2,12.1,13,12400000,10.2,56
Malta,NA,2004,1250,8.85,31.4,NA,68.4,855,13.4,403000,1270,79.2
Marshall Islands,NA,2004,420,16.4,16.5,12.4,83.5,351,16.7,54500,289,62.1
Mauritania,Africa,2004,28.6,5.88,34.9,32.9,65.1,18.6,9.81,2940000,2.95,65.3
Mauritius,Africa,2004,220,4.17,45.3,36.6,54.7,120,9.74,1220000,599,73
Mexico,Americas,2004,440,5.98,54.8,NA,45.2,199,17.4,105000000,55,75.4
"Micronesia, Fed. Sts.",NA,2004,228,10.4,4.67,4.67,95.3,217,14,107000,152,66.5
Moldova,NA,2004,61.2,8.48,50.7,40.4,49.3,30.1,11.9,4170000,127,69.1
Monaco,NA,2004,4600,3.97,11.9,7,88,4050,16.6,33500,22400,NA
Mongolia,Asia,2004,30.3,4.2,14.2,8.66,85.8,26,10.3,2500000,1.61,63.5
Montenegro,Europe,2004,287,9.08,28.1,25.6,71.9,207,16.9,615000,45.7,74.4
Morocco,Africa,2004,98.7,5.22,72.6,59.1,27.4,27.1,5.14,30100000,67.6,70.5
Mozambique,Africa,2004,14.2,5.05,30.3,15.2,69.7,9.91,13.8,19900000,25.8,50.6
Myanmar,Asia,2004,4.94,2.28,86.5,85,13.5,0.667,1.25,48600000,73.6,60.6
Namibia,Africa,2004,209,6.47,50.5,3.75,49.5,104,10.7,1910000,2.44,52.4
Nauru,NA,2004,359,13,18.8,2.96,81.2,291,28.6,9910,506,NA
Netherlands,Europe,2004,3740,9.97,31.4,7.16,59.8,2240,12.9,16300000,483,79.1
New Zealand,Oceania,2004,1970,8.03,20.4,14.1,79.6,1570,17,4080000,15.5,79.3
Nicaragua,Americas,2004,66.3,7.95,44.7,NA,55.3,36.7,19.2,5360000,44.1,75.5
Niger,Africa,2004,9.04,3.91,52.8,41.5,47.2,4.26,8.97,13100000,10.4,54.9
Nigeria,Africa,2004,44.8,6.96,67.3,64.2,32.7,14.7,7.83,135000000,149,56.5
North Macedonia,NA,2004,237,8.73,40.5,40.2,59.5,141,16.1,2060000,81.6,74.7
Norway,Europe,2004,5440,9.6,16.4,15.6,83.6,4540,17.8,4600000,12.6,79.8
Oman,Asia,2004,309,2.99,18.1,11.2,81.9,254,6.09,2450000,7.9,74.5
Pakistan,Asia,2004,17.5,2.82,75.3,61.2,24.7,4.32,2.85,157000000,196,62.6
Palau,NA,2004,775,11.5,18.4,8.91,81.6,633,13.8,19900,43.1,NA
Panama,Americas,2004,360,8.09,29.6,NA,70.3,254,11.5,3270000,44,78
Papua New Guinea,NA,2004,30.9,4.4,19.5,10.9,80.5,24.9,10,6350000,13.6,55.6
Paraguay,Americas,2004,79.8,6.64,65.2,NA,34.8,27.8,13.7,5730000,14.4,74.1
Peru,Americas,2004,112,4.37,41.2,NA,58.8,65.7,15.4,27600000,21.3,76.3
Philippines,Asia,2004,35.1,3.23,60.2,46.9,39.8,14,7.36,84700000,284,69.2
Poland,Europe,2004,411,6.2,31.4,28.1,68.6,282,9.98,38400000,125,75
Portugal,Europe,2004,1770,10.1,32.9,24.4,67.1,1190,15.2,10500000,115,78.3
Qatar,NA,2004,1650,3.71,18.3,15.3,81.8,1350,9.72,753000,65.4,76.6
Romania,Europe,2004,191,5.46,24.9,NA,75.1,143,12.2,21600000,93.8,71.9
Russia,NA,2004,212,5.19,40.4,33.2,59.6,127,11.3,144000000,8.8,65.3
Rwanda,Africa,2004,14.4,6.22,46.4,17.4,53.6,7.73,14.6,8680000,357,55.4
Samoa,NA,2004,106,4.93,18.1,12.2,81.9,86.5,18.3,179000,63.2,72.2
San Marino,NA,2004,3360,7.58,13.4,NA,86.6,2910,14.7,28900,481,NA
Sao Tome and Principe,Africa,2004,79.4,10.2,53.4,33.1,46.6,37,10,154000,158,66
Saudi Arabia,Asia,2004,399,3.69,28.3,18.2,71.7,286,8.72,23100000,10.8,74.8
Senegal,Africa,2004,43.3,5.71,62.5,55.3,37.5,16.2,9.08,10800000,56.9,62.8
Serbia,Europe,2004,275,8.66,31.1,27.3,68.8,189,13.4,9240000,106,72.6
Seychelles,NA,2004,436,5.14,8.03,7.85,92,401,10.2,87400,190,72.1
Sierra Leone,Africa,2004,29.9,13.5,89.3,81.8,10.7,3.2,5.96,5430000,75.4,52.1
Singapore,Asia,2004,922,3.4,69.3,59.4,30.7,283,6.52,4180000,6240,80.9
Slovak Republic,Europe,2004,565,7.21,26.2,NA,73.8,417,14.1,5400000,112,74.4
Slovenia,Europe,2004,1410,8.34,26.9,NA,73.1,1030,13.3,1990000,98.9,77
Solomon Islands,NA,2004,46.5,5.66,8.33,4.51,91.7,42.6,23.9,459000,16.4,61
Somalia,Africa,2004,NA,NA,NA,NA,NA,NA,NA,10100000,16.1,54
South Africa,Africa,2004,415,8.94,63.6,18.3,36.4,151,10.3,47300000,39.8,52.3
South Korea,NA,2004,789,5.25,47.4,38.3,52.6,415,10.6,48500000,499,78.2
Spain,Europe,2004,2010,8.21,29.6,NA,70.4,1410,14.9,43300000,86.9,80.2
Sri Lanka,Asia,2004,43.2,4.1,52.3,43.9,47.7,20.6,8.58,19400000,309,69.3
St. Kitts and Nevis,NA,2004,362,4.39,46.6,NA,53.4,193,5.57,46300,185,NA
St. Lucia,NA,2004,282,5.78,43.5,NA,56.5,160,9.7,162000,266,74.2
St. Vincent and the Grenadines,NA,2004,179,3.72,18.8,NA,81.2,145,9.82,109000,278,72.3
Sudan,Africa,2004,23.7,4.1,68,62.5,32,7.59,7.2,30200000,17.1,64.3
Suriname,NA,2004,207,6.88,51.6,NA,48.4,100,11.6,494000,3.16,69.6
Swaziland,Africa,2004,114,5.49,39.7,16.6,60.3,68.9,8.78,1030000,63.7,43.9
Sweden,Europe,2004,3660,9.09,18.6,16.3,81.4,2980,13.7,8990000,21.9,80.2
Switzerland,Europe,2004,5500,11.3,41.6,31.9,58.4,3210,18.4,7320000,186,81.3
Syria,Asia,2004,60.6,4.48,52,52,48,29.1,6.05,17800000,97,74.7
