country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
North Macedonia,NA,1996,202,8.75,41.4,41.1,58.6,119,14.3,1990000,78.9,72.9
Norway,Europe,1996,3180,8.7,18.6,17.8,80.9,2570,14.5,4390000,12,78
Oman,Asia,1996,238,3.56,16.1,10.1,83.9,199,7.69,2240000,7.23,71.4
Pakistan,Asia,1996,15,3.34,72.9,71.2,27.1,4.08,2.81,127000000,163,61.3
Palau,NA,1996,780,12.8,21,17.1,79,616,14.5,17600,38.5,NA
Panama,Americas,1996,245,7.18,35.6,NA,64.4,158,14.5,2800000,37.6,76.2
Papua New Guinea,NA,1996,38.9,3.65,14,6.5,86,33.4,11.5,5310000,11.1,55.8
Paraguay,Americas,1996,121,6.8,58.3,NA,41.7,50.6,14.9,4890000,12.3,74
Peru,Americas,1996,104,4.5,45.3,NA,54.7,56.8,13.9,24800000,19.1,72
Philippines,Asia,1996,41.4,3.54,59,48.3,41,17,7.8,71400000,240,69.3
Poland,Europe,1996,241,5.88,26.6,26.6,73.4,177,8.46,38500000,126,72.6
Portugal,Europe,1996,939,7.8,34.7,23.3,65.3,613,12.1,10100000,111,75.3
Qatar,NA,1996,641,3.62,33.1,30.1,66.9,429,5.02,523000,45,72.4
Romania,Europe,1996,60,3.67,35.4,NA,64.6,38.8,7.14,22800000,99.1,69
Russia,NA,1996,147,5.55,28.6,18.1,71.4,105,8.75,148000000,9.04,66
Rwanda,Africa,1996,11,4.62,59.7,24.7,40.3,4.43,8.28,6010000,248,47.5
Samoa,NA,1996,69.3,5.22,25.6,21.6,74.4,51.6,15.7,171000,60.5,71.1
San Marino,NA,1996,2320,7.55,13.6,NA,86.4,2010,18.4,26300,437,NA
Sao Tome and Principe,Africa,1996,80.7,7.74,76,57.4,24,19.4,8.14,134000,134,63.6
Saudi Arabia,Asia,1996,248,2.96,45.4,32.7,54.6,136,4.82,19000000,8.9,73.8
Senegal,Africa,1996,24.1,4.08,63.7,59.6,36.3,8.75,7.72,8910000,46.6,59.2
Serbia,Europe,1996,128,7.32,29.1,24.6,70.9,91,13.5,9860000,113,71.1
Seychelles,NA,1996,356,5.33,12.4,12.3,87.6,312,7.82,77600,169,71
Sierra Leone,Africa,1996,35.1,14.5,90.9,86.5,9.06,3.18,8.9,4310000,59.3,51
Singapore,Asia,1996,766,2.96,51,49.2,49,375,6.9,3640000,5090,77.8
Slovak Republic,Europe,1996,253,6.44,11.3,NA,88.7,225,10.6,5380000,112,73
Slovenia,Europe,1996,812,7.64,23.8,NA,76.2,619,13.2,1990000,98.8,75
Solomon Islands,NA,1996,46.6,4.71,7.79,4.35,92.2,43,14.3,370000,13.2,61.2
Somalia,Africa,1996,4.93,2.59,55.6,55.6,44.4,2.19,4.17,7680000,12.6,51.1
South Africa,Africa,1996,271,7.96,64.1,13,35.9,97.4,9.47,42200000,35.4,62.8
South Korea,NA,1996,494,3.92,58.3,48.9,41.7,206,7.71,45800000,471,74.9
Spain,Europe,1996,1180,7.46,27.6,NA,72.4,852,12.5,39900000,80.2,78.2
Sri Lanka,Asia,1996,26.1,3.45,53.6,47.1,46.4,12.1,5.62,18400000,293,70.7
St. Kitts and Nevis,NA,1996,304,5.42,41.5,NA,58.5,178,9.05,42500,167,NA
St. Lucia,NA,1996,209,5.49,35.5,NA,64.5,135,13,149000,244,72
St. Vincent and the Grenadines,NA,1996,116,4.45,15.4,NA,84.6,98,12.1,108000,277,71
Sudan,Africa,1996,11.5,3.95,76,70.6,24,2.77,11.8,24800000,14,61.5
Suriname,NA,1996,144,7.41,57.6,NA,42.4,61.3,11,448000,2.88,69.9
Swaziland,Africa,1996,88,5.4,43.4,14.7,56.6,49.8,12,946000,57.1,57.2
Sweden,Europe,1996,2560,8.2,13.1,13.1,86.9,2230,11.3,8860000,21.6,79.1
Switzerland,Europe,1996,4270,9.95,45.5,31.5,54.5,2320,15.4,7040000,179,79.4
Syria,Asia,1996,59.5,5.5,64.5,64.5,35.5,21.1,7.18,14800000,80.4,70.8
Tajikistan,NA,1996,5.53,3.11,58.2,57,41.8,2.31,7.25,5850000,41.8,64.4
Tanzania,Africa,1996,7.14,3.38,59.9,50,40.1,2.86,10.2,30400000,34.8,52.6
Thailand,Asia,1996,116,3.84,52.8,42.5,47.2,54.7,10,60100000,118,70.1
Timor-Leste,NA,1996,28.1,6.51,16,15.1,84,23.6,6.98,855000,58.9,63.9
Togo,Africa,1996,18.2,4.66,67.3,58.8,32.7,5.95,8.48,4350000,80.9,57.3
Tonga,NA,1996,95.5,5.16,33.2,25.7,66.8,63.8,12.1,96300,134,70.6
Trinidad and Tobago,Americas,1996,197,4.33,54.2,NA,45.8,90.1,6.82,1260000,245,69.7
Tunisia,Africa,1996,123,5.69,47,40.1,53,65.3,7.67,9270000,59.6,73.4
Turkey,Europe,1996,117,2.9,30.8,30.9,69.2,80.7,10.1,59400000,77.2,71
Turkmenistan,NA,1996,18.1,3.25,30.3,30.3,69.7,12.6,13.9,4290000,9.12,64.6
Tuvalu,NA,1996,152,11.4,0.19,NA,99.8,152,4.6,9320,309,NA
Uganda,Africa,1996,17.3,6.06,73.1,52.1,26.9,4.65,9.85,21000000,106,47
Ukraine,NA,1996,53.9,6.14,36.4,32.7,63.6,34.3,9.3,50600000,87.3,67
United Arab Emirates,NA,1996,731,2.46,20.8,14.3,79.3,580,7.13,2540000,30.8,72.3
